sample_id,label,prediction,classification_correct,expected_logit,dense,categorical_ids,embedding_0,embedding_1,embedding_2,embedding_3,expected_bottom,expected_interaction
145,1,1,1,1008,3784;-577;319;-1667;-2251;-2329;842;2870,61;13;0;58,231;-180;434;397;649;258;13;135,-85;-372;267;19;259;1;-374;-301,-123;163;-19;454;-201;263;-148;278,235;-23;11;73;-312;-361;92;-28,2124;1644;1948;0;0;4250;3806;0,2124;1644;1948;0;0;4250;3806;0;1067;-826;143;256;43;-62;-342;-101;-56;-26
146,1,1,1,761,-833;565;3276;-1739;-4033;560;724;1186,4;2;11;29,-205;-396;-374;71;-376;-272;247;68,67;-143;-35;-386;-386;130;88;-55,-52;-61;49;-266;-291;-279;-7;544,-359;-269;19;214;-212;-268;-188;24,1916;1085;0;612;0;5017;2580;428,1916;1085;0;612;0;5017;2580;428;-721;289;76;-739;107;74;-1303;145;-19;63
147,0,0,1,-1612,-2190;-775;-378;759;-1772;-402;-2482;2805,52;62;24;112,216;306;368;133;191;349;285;187,736;285;328;212;-133;67;211;116,-203;-199;224;14;-221;-167;-95;-25,89;550;348;190;-150;213;306;283,596;0;0;3530;0;5151;0;5123,596;0;0;3530;0;5151;0;5123;1638;1038;232;-518;-75;-66;1597;257;248;-42
148,0,0,1,-2617,-1557;2854;-2933;-4847;3128;-303;1801;1530,34;57;59;84,77;-271;393;-135;-157;-130;188;263,-331;5;324;-22;-52;-208;-177;56,-479;-32;28;188;6;-202;112;37,-25;-197;-59;-227;102;123;-214;241,448;0;0;9942;0;244;0;11917,448;0;0;9942;0;244;0;11917;876;122;59;999;7;91;310;24;7;-32
149,0,0,1,-1913,-3242;111;862;-2645;1222;1798;799;4195,10;30;78;81,142;-109;-34;431;18;144;-80;152,64;623;-160;-338;-42;436;-259;-115,173;-92;341;-16;-122;347;293;40,-470;-131;148;-66;-352;20;-353;70,0;0;0;5176;0;3342;0;5648,0;0;0;5176;0;3342;0;5648;1743;-460;-65;636;23;-10;59;-25;-3;-33
150,1,0,0,-678,63;-2697;1686;1530;-1981;-261;-965;1604,3;58;38;37,-341;309;108;222;235;272;10;-414,8;91;-444;44;-282;-43;-131;-254,91;11;130;293;117;285;-79;336,-229;-11;-151;320;213;134;-163;141,2677;992;1711;0;0;6132;0;3477,2677;992;1711;0;0;6132;0;3477;-94;-876;6;1657;8;-80;210;76;-1;86
151,1,1,1,333,1399;1450;-2355;887;2396;3002;2743;198,18;21;44;93,145;21;194;-74;26;184;312;174,-315;-5;-270;-363;313;-71;-144;-521,131;-204;432;-106;168;123;322;232,-603;-446;-292;191;582;-193;-66;79,5011;0;1883;156;0;0;1549;4030,5011;0;1883;156;0;0;1549;4030;1106;-2181;-103;1410;134;-118;-1624;-95;179;-31
152,1,1,1,120,1044;1750;-415;-1754;102;-440;1212;1103,33;61;57;97,-256;23;-193;149;-93;-20;-347;-179,163;-76;355;218;-159;-108;306;-170,-90;114;404;-138;184;0;302;-68,214;-69;89;127;45;109;-386;86,1334;240;718;2369;0;506;1737;1927,1334;240;718;2369;0;506;1737;1927;-527;547;-68;129;-89;80;90;28;-26;-60
153,0,1,0,175,-2767;1025;124;1706;-2158;-97;2017;621,12;70;1;45,-255;-85;170;-38;-246;-265;-22;119,-193;229;-320;-346;-54;-217;-112;-237,-186;-263;-201;69;-37;87;-185;241,290;114;-203;-278;1;-264;-26;179,1726;1983;0;1967;0;3375;4909;431,1726;1983;0;1967;0;3375;4909;431;-798;-949;16;-594;25;-18;-372;-8;73;-18
154,1,1,1,3481,-4;3828;2881;2411;-457;-3445;-1503;2481,17;60;4;84,268;120;-95;341;0;354;168;82,339;65;-108;11;-147;191;140;-183,-62;-57;-548;239;-124;112;-273;311,-25;-197;-59;-227;102;123;-214;241,6470;8460;3079;0;0;6208;11697;0,6470;8460;3079;0;0;6208;11697;0;3232;2556;92;-2475;63;-9;-1831;-37;-41;61
155,1,1,1,1111,1075;-952;3005;-658;-1468;1020;-2117;-1920,36;14;73;127,-87;299;308;-2;173;86;29;-82,52;-217;-30;-422;-342;-40;-407;-240,-85;-159;175;155;128;-183;324;54,-247;-175;-14;245;-57;-23;-111;423,2737;1401;2490;0;395;6424;184;674,2737;1401;2490;0;395;6424;184;674;741;-422;-65;-512;12;-108;-421;-42;-56;33
156,1,1,1,2061,385;3238;2874;1205;2130;3824;-319;2825,17;9;2;46,268;120;-95;341;0;354;168;82,-94;-34;-261;-443;-36;-494;-61;-221,170;38;61;6;-64;290;-154;256,137;-90;-285;-253;-125;135;-242;-13,8162;5030;1839;0;0;1833;8450;0,8162;5030;1839;0;0;1833;8450;0;2287;-1386;-175;450;70;-109;-809;-13;64;40
157,0,0,1,-3336,1236;-3551;-1291;-1766;-2829;1972;-2727;-1117,51;68;23;34,-84;-10;125;161;-17;105;76;-144,244;413;334;-203;-133;42;-133;91,19;42;-34;36;74;692;111;495,101;102;40;512;75;87;-130;209,0;0;1957;1062;0;8285;0;9147,0;0;1957;1062;0;8285;0;9147;-15;790;-16;4996;4;26;1589;22;3;87
158,1,1,1,538,11;1065;-332;126;2514;-3276;-108;-3858,36;16;88;37,-87;299;308;-2;173;86;29;-82,289;35;-12;-217;177;-241;-48;-268,-246;-437;-204;108;128;33;134;206,-229;-11;-151;320;213;134;-163;141,2010;1631;2331;2158;0;564;3959;3991,2010;1631;2331;2158;0;564;3959;3991;421;-612;6;-38;-78;-75;-72;1;-78;81
159,0,0,1,-714,946;-3238;1840;-1345;-2478;-1844;-443;1027,28;0;26;30,-365;-332;268;232;-169;-383;-529;-69,146;103;62;-7;-9;-164;166;-80,-155;82;385;301;306;-137;-217;-8,80;-713;-301;-173;-587;-391;78;440,765;0;1247;0;0;6467;0;4078,765;0;1247;0;0;6467;0;4078;-1320;-585;-44;-272;156;-4;-512;129;-16;-188
160,0,0,1,-434,-361;-380;-447;-448;2550;-4565;-1538;3070,47;51;33;51,-55;115;-60;-225;46;-185;188;167,114;102;310;54;128;447;281;308,-169;-150;197;96;-171;-186;17;134,6;-216;-59;-380;362;91;248;-72,0;673;0;2041;0;1664;0;1788,0;673;0;2041;0;1664;0;1788;-191;719;1;12;5;-13;-439;48;36;-49
161,1,1,1,1022,-2656;2584;2772;473;1164;1321;-2679;-1739,46;46;38;98,119;294;401;-143;126;110;-342;-134,99;5;185;-447;556;242;8;-381,91;11;130;293;117;285;-79;336,59;353;368;333;-240;413;305;27,5210;2583;0;0;0;3784;5338;574,5210;2583;0;0;0;3784;5338;574;-52;619;145;660;26;-45;2161;58;-56;112
162,0,0,1,-497,-352;42;603;-1722;2643;1211;-460;76,50;79;88;125,-1;315;-352;-376;277;-56;-156;-178,61;276;320;-408;161;164;113;285,-246;-437;-204;108;128;33;134;206,169;238;104;224;-336;304;120;-27,805;0;291;0;0;1423;528;2796,805;0;291;0;0;1423;528;2796;-373;602;46;213;-64;-71;287;-83;10;-81
163,1,1,1,1143,2668;1130;1047;-1995;-1091;-3307;-226;2275,59;74;76;101,137;-202;158;-201;408;249;40;15,344;579;-125;-149;-53;37;-129;-103,-554;-278;-170;21;-61;146;-292;-326,223;282;514;520;-67;69;95;264,2127;2173;1388;0;0;3701;4325;0,2127;2173;1388;0;0;3701;4325;0;569;681;-38;-1338;-27;-124;1204;-25;32;-185
164,1,1,1,1612,442;1865;3697;-2250;-1163;2084;-3051;-1890,62;27;9;103,-158;-79;257;291;-107;143;333;-200,268;448;422;-230;-76;-95;-172;-171,288;299;32;195;-166;372;211;485,-436;-427;49;-298;127;96;-465;-201,4140;2348;1739;0;0;4804;3694;0,4140;2348;1739;0;0;4804;3694;0;744;881;-32;2205;20;18;-1943;-42;-60;-240
165,0,1,0,306,3256;1815;-1395;-3618;-1486;-2752;-1662;980,58;44;13;105,0;-286;-212;-83;-5;41;-200;-135,354;139;25;-213;300;131;-42;-94,-598;-397;-459;-123;-188;-361;-203;505,-51;-147;103;-32;-365;472;76;-393,1810;452;2563;3403;0;1590;2446;3331,1810;452;2563;3403;0;1590;2446;3331;-893;-80;-1;-1096;88;-193;-184;40;-21;-132
166,1,1,1,275,1203;-66;1574;-1729;-1457;2875;849;-1965,42;13;4;74,70;111;191;-314;665;201;-69;-241,-85;-372;267;19;259;1;-374;-301,-62;-57;-548;239;-124;112;-273;311,191;104;195;-62;235;131;-75;-19,1913;776;1203;0;0;1439;418;1347,1913;776;1203;0;0;1439;418;1347;188;-337;131;-174;-150;-68;397;134;44;-68
167,0,0,1,-1620,653;3140;-131;-6225;-3847;371;-2986;1898,5;0;86;17,76;191;-92;281;-300;-85;420;-167,146;103;62;-7;-9;-164;166;-80,-198;-234;-161;165;160;305;161;295,-15;-138;-171;224;-3;108;81;39,1774;0;722;4575;0;3221;2698;5513,1774;0;722;4575;0;3221;2698;5513;631;-122;60;1626;-26;-55;809;34;-18;77
168,1,1,1,1836,-184;2157;1137;4014;-844;-3836;-3758;421,53;56;81;121,599;-80;222;391;-541;-197;512;-13,-366;-553;-251;-253;178;5;134;-170,-341;-371;56;176;108;-26;-455;199,44;725;98;339;152;614;212;203,6427;7422;2104;0;0;8229;9893;0,6427;7422;2104;0;0;8229;9893;0;3500;-2743;-174;-4659;-187;96;6357;12;-246;-134
169,1,1,1,1417,146;1817;-36;2633;-1195;724;-301;1590,33;76;78;18,-256;23;-193;149;-93;-20;-347;-179,-319;-43;337;293;172;355;104;122,173;-92;341;-16;-122;347;293;40,428;-354;-97;253;408;-24;-42;-35,4931;5469;1749;0;0;2563;7203;0,4931;5469;1749;0;0;2563;7203;0;-1965;215;-11;1927;-107;96;-175;-38;-13;-1
170,0,0,1,-877,1033;-607;-467;-2538;853;-306;-273;4715,31;56;20;4,-115;101;1;86;297;420;198;-150,-366;-553;-251;-253;178;5;134;-170,-256;297;307;90;190;-339;71;-181,113;-189;-87;66;212;-90;223;-52,246;0;0;2918;0;1313;0;2362,246;0;0;2918;0;1313;0;2362;205;-597;35;-329;11;-48;-10;25;70;-5
171,1,1,1,1126,3255;779;615;1037;1620;2115;-370;-771,39;56;36;50,-157;-108;241;66;-315;198;329;105,-366;-553;-251;-253;178;5;134;-170,574;249;380;168;188;259;-202;604,-316;-66;359;-310;-63;169;33;-276,5203;2921;2976;0;0;2342;3472;0,5203;2921;2976;0;0;2342;3472;0;581;-1850;5;2319;-12;-284;-126;77;89;-124
172,1,0,0,-304,-102;-353;1745;-1290;-192;-225;-1040;-1097,55;33;14;97,-228;270;342;22;-301;51;453;427,120;390;97;81;158;12;507;89,61;230;-54;6;-210;466;-56;562,214;-69;89;127;45;109;-386;86,634;37;792;0;0;3714;434;1105,634;37;792;0;0;3714;434;1105;485;259;163;1139;162;42;262;-88;-79;51
173,1,1,1,811,2603;1465;666;-891;1197;-2946;-244;-2627,42;7;48;112,70;111;191;-314;665;201;-69;-241,264;-330;-383;-550;125;17;-31;-431,-399;9;221;-187;-13;-3;-452;-104,89;550;348;190;-150;213;306;283,2758;2345;2752;0;0;2804;4952;1363,2758;2345;2752;0;0;2804;4952;1363;426;-876;134;-1396;59;-16;2437;-35;-265;-76
174,0,0,1,-3126,-401;-1654;-1580;-1636;-4887;2466;-2736;-1618,8;61;83;110,-78;-108;372;218;-299;375;175;371,163;-76;355;218;-159;-108;306;-170,-11;-76;-63;262;-270;-145;-272;366,-248;-379;40;141;-93;222;-233;-255,424;0;787;3912;0;7173;0;10311,424;0;787;3912;0;7173;0;10311;3724;-648;84;1809;77;-24;-273;40;-2;14
175,1,1,1,606,1392;-1024;908;-618;-2680;-2650;2017;-951,55;56;27;111,-228;270;342;22;-301;51;453;427,-366;-553;-251;-253;178;5;134;-170,-55;-204;55;-87;78;247;-498;91,-30;-98;-250;-95;-327;-100;-87;-174,1163;1841;1464;108;0;3668;2443;930,1163;1841;1464;108;0;3668;2443;930;1184;-806;-109;-290;-109;36;-651;-62;54;-3
176,0,0,1,-1313,-678;214;-240;-1871;2179;-156;-1845;-2414,30;60;86;53,469;287;9;138;-404;311;189;-104,339;65;-108;11;-147;191;140;-183,-198;-234;-161;165;160;305;161;295,21;-787;-276;-132;-233;-264;-116;20,653;0;1422;2920;0;771;1088;6188,653;0;1422;2920;0;771;1088;6188;256;-358;167;1152;-53;-29;-474;-121;-25;35
177,1,1,1,839,3986;112;546;-1049;1109;-66;3040;-289,40;62;37;95,192;255;83;40;350;250;123;-94,736;285;328;212;-133;67;211;116,175;16;-143;-117;-209;-42;-168;-55,31;-97;-108;-41;275;-216;108;-266,1745;1072;1669;0;0;1556;1134;1194,1745;1072;1669;0;0;1556;1134;1194;568;1279;115;-116;-38;22;-372;25;-53;-14
178,1,1,1,3829,521;5427;469;3454;1770;-633;193;-1124,7;77;62;93,184;406;108;402;189;-21;291;542,-183;232;-296;79;146;10;-229;-293,-134;-542;310;-244;-101;65;-160;-166,-603;-446;-292;191;582;-193;-66;79,8522;9311;2486;0;0;2293;12814;0,8522;9311;2486;0;0;2293;12814;0;4540;-1488;-67;-3574;-228;-69;-5520;-53;90;54
179,1,1,1,2376,1146;1561;1082;4616;-626;-2160;-2552;-2663,33;17;77;14,-256;23;-193;149;-93;-20;-347;-179,213;-208;9;170;-63;318;322;-122,295;-213;204;91;-118;94;61;449,104;-13;291;321;204;348;272;-187,6896;7576;2290;0;0;7185;9832;0,6896;7576;2290;0;0;7185;9832;0;-2729;2619;-62;1056;-97;62;3154;-60;142;31
180,0,0,1,-249,-724;-1255;711;-1499;-2270;5602;1872;1893,0;3;86;6,207;-98;-154;-232;311;-71;95;24,-55;305;309;-27;23;21;-43;306,-198;-234;-161;165;160;305;161;295,-479;-296;-256;67;15;-626;93;-417,2412;0;0;2049;0;3096;0;4834,2412;0;0;2049;0;3096;0;4834;-39;662;-36;1089;9;-10;-2428;1;-141;-39
181,0,0,1,-657,650;-1108;-1309;1295;1158;-3535;1449;-805,57;63;4;103,60;-51;-75;241;-210;170;-239;-23,-311;-34;188;75;-80;-203;118;-368,-62;-57;-548;239;-124;112;-273;311,-436;-427;49;-298;127;96;-465;-201,207;1283;648;2881;0;1195;274;2435,207;1283;648;2881;0;1195;274;2435;329;-428;-25;519;98;-109;-960;12;62;6
182,1,1,1,263,1311;-644;-491;1668;3279;-31;1780;-2776,62;68;9;40,-158;-79;257;291;-107;143;333;-200,244;413;334;-203;-133;42;-133;91,288;299;32;195;-166;372;211;485,268;39;-104;-113;133;210;-294;-145,2775;410;2172;0;0;1327;554;3098,2775;410;2172;0;0;1327;554;3098;-77;896;-42;1516;20;107;98;-77;42;-6
183,0,0,1,-1911,-108;-1246;-2187;-2604;-597;-48;2817;-836,62;75;33;105,-158;-79;257;291;-107;143;333;-200,367;131;293;-180;-365;-96;127;69,-169;-150;197;96;-171;-186;17;134,-51;-147;103;-32;-365;472;76;-393,0;0;265;8270;0;434;0;8468,0;0;265;8270;0;434;0;8468;412;-424;4;928;43;25;-1641;121;33;-14
184,0,0,1,-1469,-3531;-547;-1706;3148;-1084;-1991;-467;-970,20;5;46;52,-39;577;198;-84;-223;269;392;-107,-15;-178;52;124;379;54;-281;-117,64;92;-277;308;12;-241;-128;47,395;54;-152;-316;-182;181;-159;-99,120;1588;0;3854;0;4612;121;4532,120;1588;0;3854;0;4612;121;4532;679;-59;-132;208;-75;14;-351;24;-32;-27
185,1,0,0,-695,876;-2155;-195;711;-1193;-401;-3368;667,31;5;76;115,-115;101;1;86;297;420;198;-150,-15;-178;52;124;379;54;-281;-117,-554;-278;-170;21;-61;146;-292;-326,-247;-14;198;314;95;169;452;29,1303;0;906;0;0;6271;0;4511,1303;0;906;0;0;6271;0;4511;883;-79;45;-699;35;76;512;116;-15;-4
186,0,0,1,-1466,1195;-1082;-3762;-766;3405;2661;3181;2225,37;1;12;98,254;-38;-279;-197;171;-85;39;112,-117;523;284;-83;-329;88;-718;-28,-107;-665;-130;-147;-426;354;-130;125,59;353;368;333;-240;413;305;27,1626;0;1116;3829;0;1352;0;7008,1626;0;1116;3829;0;1352;0;7008;8;-131;-101;231;-15;-48;1235;-111;73;-61
187,1,1,1,391,3780;-1763;1783;-1397;391;-137;-4211;-1011,34;33;43;25,77;-271;393;-135;-157;-130;188;263,120;390;97;81;158;12;507;89,70;-304;544;135;116;367;414;583,-115;-459;-73;70;64;232;-56;-48,2702;383;3265;0;1830;7871;111;1158,2702;383;3265;0;1830;7871;111;1158;196;651;11;2769;219;116;565;7;-104;70
188,0,0,1,-1611,901;-1062;-1680;95;740;254;-1754;1320,2;16;28;124,203;32;-68;32;293;314;-326;-187,289;35;-12;-217;177;-241;-48;-268,-14;-99;-80;98;-326;255;57;372,-20;67;136;154;-95;368;-401;329,478;0;319;1862;0;2439;0;3909,478;0;319;1862;0;2439;0;3909;83;-930;47;1087;-49;-122;1223;74;-104;108
189,0,0,1,-744,-1144;-2942;-589;3064;-5171;-2791;-2778;-453,48;12;57;119,530;132;0;344;-110;408;-75;649,173;267;-221;-237;-83;-299;444;36,-90;114;404;-138;184;0;302;-68,-302;-344;97;270;-216;133;-400;-395,2653;1453;803;468;0;10609;0;6985,2653;1453;803;468;0;10609;0;6985;5186;-1153;-38;-141;-82;36;-1194;-127;-216;-70
190,1,0,0,-584,1990;3031;-2737;-1986;3571;-1842;1281;1003,20;23;47;76,-39;577;198;-84;-223;269;392;-107,33;42;-240;-332;-304;-230;310;131,-401;-311;-41;-24;-242;-2;214;181,-41;7;-158;-287;-119;22;7;57,2397;0;2157;4955;0;0;454;7065,2397;0;2157;4955;0;0;454;7065;-323;-497;57;101;-25;76;-711;13;84;33
191,1,1,1,1011,1814;2363;2421;-4740;2051;-3874;-369;-555,38;51;48;99,-185;184;-60;177;377;495;383;-251,114;102;310;54;128;447;281;308,-399;9;221;-187;-13;-3;-452;-104,-1;-22;-168;-89;430;103;227;136,1880;1308;2284;613;0;2250;3175;1603,1880;1308;2284;613;0;2250;3175;1603;875;1699;141;-955;-61;-72;343;125;72;-70
192,0,0,1,-922,-472;2285;-1755;-2912;-948;-1940;-1441;-1612,42;53;21;56,70;111;191;-314;665;201;-69;-241,5;423;1;163;-93;54;110;183,-203;216;3;76;-82;114;-276;-50,-109;560;230;-155;-472;194;18;31,652;0;1708;7740;0;0;1818;7955,652;0;1708;7740;0;0;1818;7955;-2002;1427;-52;-214;-7;38;-292;-67;133;91
193,0,0,1,-2641,-1069;-20;-5381;1648;556;-1190;933;-570,57;54;21;72,60;-51;-75;241;-210;170;-239;-23,15;-102;-418;-279;41;-52;392;-411,-203;216;3;76;-82;114;-276;-50,263;20;72;590;-220;-42;17;-371,25;0;1473;8951;0;438;0;9147,25;0;1473;8951;0;438;0;9147;934;-3367;-64;133;48;-71;968;95;-20;11
194,1,1,1,2727,-70;3833;690;1799;777;-4333;184;-1427,48;48;10;37,530;132;0;344;-110;408;-75;649,-175;475;143;58;-204;688;57;232,-487;-383;58;-605;-107;-311;-274;-311,-229;-11;-151;320;213;134;-163;141,4074;5797;2254;0;0;3803;9320;0,4074;5797;2254;0;0;3803;9320;0;1844;2691;215;-3813;-397;-197;-1146;60;51;-73
195,1,1,1,2331,1687;1035;5238;1024;1428;386;-823;-2091,40;56;46;96,192;255;83;40;350;250;123;-94,-366;-553;-251;-253;178;5;134;-170,64;92;-277;308;12;-241;-128;47,-352;57;84;-384;243;98;-432;41,5779;6283;3419;0;0;5701;6991;0,5779;6283;3419;0;0;5701;6991;0;2578;-2677;-71;-1107;-25;-52;-1880;-4;74;-60
196,1,1,1,657,3114;-2089;704;1283;558;1207;2655;-3488,31;58;80;75,-115;101;1;86;297;420;198;-150,8;91;-444;44;-282;-43;-131;-254,-76;-206;-204;-345;238;47;-414;-96,-422;134;-73;-41;-33;-140;32;-202,2482;934;3392;0;0;2996;0;2808,2482;934;3392;0;0;2996;0;2808;317;-1095;-38;-587;-9;32;-1053;13;50;12
197,1,0,0,-710,527;-2848;638;876;1042;-557;-1422;-1846,53;62;62;109,599;-80;222;391;-541;-197;512;-13,736;285;328;212;-133;67;211;116,-134;-542;310;-244;-101;65;-160;-166,-40;20;216;227;-213;421;-256;549,1093;0;1729;0;0;5262;0;4202,1093;0;1729;0;0;5262;0;4202;-26;1080;361;17;-50;-116;2369;3;79;2
198,0,0,1,-1787,377;-2448;-1865;1754;-568;2384;-2306;1291,57;39;0;67,60;-51;-75;241;-210;170;-239;-23,86;-119;86;-35;221;371;258;-203,-123;163;-19;454;-201;263;-148;278,-112;102;-57;-165;180;71;-140;93,2249;0;903;2174;0;5273;0;6669,2249;0;903;2174;0;5273;0;6669;651;389;-21;1921;103;-43;162;-20;-5;-7
199,0,0,1,-2581,-2623;-1067;1456;-4321;70;1413;3703;-2274,44;21;76;9,-63;419;186;-108;-298;-279;57;67,-315;-5;-270;-363;313;-71;-144;-521,-554;-278;-170;21;-61;146;-292;-326,274;-25;387;439;339;28;23;253,0;0;0;6676;0;2667;0;7530,0;0;0;6676;0;2667;0;7530;-469;-3191;-54;-940;-86;194;2398;-46;-186;-150
200,0,0,1,-1249,1137;-1283;-1491;-554;-3640;-3096;-465;2351,18;5;14;67,145;21;194;-74;26;184;312;174,-15;-178;52;124;379;54;-281;-117,61;230;-54;6;-210;466;-56;562,-112;102;-57;-165;180;71;-140;93,1282;1054;1262;1646;0;5627;1538;3365,1282;1054;1262;1646;0;5627;1538;3365;1187;-224;-46;2290;80;-72;57;-11;30;36
201,0,0,1,-2069,-4667;609;-1966;166;3922;-751;-3514;398,44;11;20;119,-63;419;186;-108;-298;-279;57;67,-363;439;-204;-77;-238;-78;146;-190,-256;297;307;90;190;-339;71;-181,-302;-344;97;270;-216;133;-400;-395,588;0;0;4096;0;4161;0;8876,588;0;0;4096;0;4161;0;8876;-511;-1240;130;-1367;106;88;-988;-77;-12;-7
202,1,1,1,981,836;1700;-960;765;-918;-2536;1374;1405,2;13;86;30,203;32;-68;32;293;314;-326;-187,-85;-372;267;19;259;1;-374;-301,-198;-234;-161;165;160;305;161;295,80;-713;-301;-173;-587;-391;78;440,2211;3153;1748;1191;0;2657;5547;0,2211;3153;1748;1191;0;2657;5547;0;-247;-1437;101;216;2;-21;-1665;-192;-68;49
203,1,1,1,16,-1828;3089;-1405;22;2760;-2084;-289;2038,40;24;89;125,192;255;83;40;350;250;123;-94,97;66;10;-297;-372;230;92;50,-23;-151;-285;257;-201;138;-71;-167,169;238;104;224;-336;304;120;-27,1772;0;898;1543;0;1930;3180;2947,1772;0;898;1543;0;1930;3180;2947;524;296;-20;-172;-42;0;795;42;84;46
204,1,1,1,387,-2253;1103;2362;776;-2363;-1482;1193;-20,2;70;34;40,203;32;-68;32;293;314;-326;-187,-193;229;-320;-346;-54;-217;-112;-237,-136;-380;-280;95;330;-165;-111;-149,268;39;-104;-113;133;210;-294;-145,1571;2449;0;867;0;4047;4308;0,1571;2449;0;867;0;4047;4308;0;142;-685;-12;-1078;45;30;1;140;22;15
205,0,0,1,-2487,-859;-1555;-2157;-1382;-3489;345;33;2413,56;2;47;27,34;298;82;-302;237;-221;137;-11,67;-143;-35;-386;-386;130;88;-55,-401;-311;-41;-24;-242;-2;214;181,-92;-557;81;235;420;-71;-354;2,0;0;0;5579;0;5036;0;7495,0;0;0;5579;0;5036;0;7495;-1406;-933;-17;592;-64;64;473;-81;-109;12
206,0,0,1,-1069,-3172;533;-852;58;864;334;-753;-3707,17;59;20;103,268;120;-95;341;0;354;168;82,388;159;-49;-157;-246;14;-111;-84,-256;297;307;90;190;-339;71;-181,-436;-427;49;-298;127;96;-465;-201,889;0;0;5928;0;1215;979;7964,889;0;0;5928;0;1215;979;7964;1713;-657;26;-722;-75;-61;-1999;-164;-75;-16
207,1,1,1,710,-132;878;-202;856;384;968;-2936;-2190,59;43;58;1,137;-202;158;-201;408;249;40;15,71;67;281;361;-48;-171;-380;-191,-1;-283;-203;-304;-95;-207;-355;396,47;-2;-55;418;-346;-113;-35;80,3750;1254;1254;0;0;2620;2072;2845,3750;1254;1254;0;0;2620;2072;2845;604;-525;-55;-373;-6;-42;-18;-125;84;-7
208,0,0,1,-85,-66;-1260;2657;-1532;2320;579;-204;2920,23;7;67;77,45;470;-138;142;24;-22;-111;114,264;-330;-383;-550;125;17;-31;-431,21;334;-149;-242;-48;155;219;79,-536;-139;-179;-552;525;-151;-416;284,1280;353;375;54;0;1738;0;1412,1280;353;375;54;0;1738;0;1412;148;-259;-103;223;61;20;-339;-24;112;-7
209,0,0,1,-458,827;-1440;741;-129;-670;-529;-2537;2493,50;14;15;15,-1;315;-352;-376;277;-56;-156;-178,52;-217;-30;-422;-342;-40;-407;-240,63;570;264;288;65;21;303;437,286;-80;-159;94;214;-44;-155;-164,1628;258;897;163;0;4413;0;2469,1628;258;897;163;0;4413;0;2469;-480;-408;56;833;-63;-245;-137;54;14;-72
210,0,0,1,-208,-930;523;-885;1026;-3114;-1376;-1985;1817,46;28;63;18,119;294;401;-143;126;110;-342;-134,-172;-78;-158;-418;-174;77;-134;-33,26;93;481;150;-223;77;-60;-55,428;-354;-97;253;408;-24;-42;-35,1925;1643;654;1107;0;5713;2901;1854,1925;1643;654;1107;0;5713;2901;1854;100;-506;-5;414;103;-47;66;-29;-99;-58
211,1,0,0,-34,-556;-941;-788;2242;2088;-3257;-375;-245,12;13;5;81,-255;-85;170;-38;-246;-265;-22;119,-85;-372;267;19;259;1;-374;-301,177;-450;-191;-383;182;-184;-59;-84,-470;-131;148;-66;-352;20;-353;70,752;1660;375;145;0;2367;1574;1126,752;1660;375;145;0;2367;1574;1126;-392;-734;3;-666;-14;92;-466;125;72;-39
212,1,1,1,955,2468;-1533;1200;1132;3891;-2625;1621;1029,43;72;46;37,478;152;150;-158;283;-99;-153;-123,-260;317;-354;-797;-105;31;376;-255,64;92;-277;308;12;-241;-128;47,-229;-11;-151;320;213;134;-163;141,2178;1856;1383;0;0;2384;1789;338,2178;1856;1383;0;0;2384;1789;338;478;94;-30;-420;-2;-99;-319;-63;-127;60
213,0,0,1,-813,2284;-2338;-3454;100;-1081;171;340;1885,21;50;17;8,-72;215;174;-314;-71;101;-293;-132,158;131;419;-140;243;371;-78;45,-2;-573;187;55;11;-217;176;-48,-415;138;383;257;-274;-546;-33;-113,675;403;1462;3553;0;3699;0;5735,675;403;1462;3553;0;3699;0;5735;-589;930;83;-411;-86;-48;-693;17;-95;60
214,1,1,1,998,654;1930;3017;-2006;-1049;1306;2449;-1553,18;34;53;28,145;21;194;-74;26;184;312;174,153;570;-36;43;102;215;164;14,-205;123;334;95;-15;180;-110;-153,-316;127;-136;-170;164;-91;204;43,2531;2108;55;0;0;1457;3596;0,2531;2108;55;0;0;1457;3596;0;885;1216;58;-183;1;23;30;1;26;-14
215,0,0,1,-1674,395;-3158;-2373;-2368;522;489;2403;173,28;0;67;61,-365;-332;268;232;-169;-383;-529;-69,146;103;62;-7;-9;-164;166;-80,21;334;-149;-242;-48;155;219;79,-280;-157;-177;-94;386;-265;60;-336,0;0;112;6130;0;1569;0;8557,0;0;112;6130;0;1569;0;8557;127;-477;-44;-284;-189;17;-1898;55;5;-40
216,0,0,1,-1251,-1541;-1206;943;-764;-1434;256;2081;60,14;58;18;82,-8;-361;351;-25;384;-45;-134;-61,8;91;-444;44;-282;-43;-131;-254,-133;-158;6;303;-414;-13;216;-60,2;1;-18;-363;281;-271;-667;-151,0;0;0;2838;0;2587;0;4113,0;0;0;2838;0;2587;0;4113;-214;-503;-128;283;-64;49;-1149;108;25;-175
217,0,0,1,-3539,-2628;-1956;-3153;-1797;-2091;2482;1633;238,31;20;22;43,-115;101;1;86;297;420;198;-150,436;373;17;65;85;175;477;-102,137;-400;162;169;73;67;355;218,118;249;-2;-66;7;165;62;255,0;0;0;8771;0;4406;0;12478,0;0;0;8771;0;4406;0;12478;358;33;98;2196;22;44;1626;25;84;-3
